,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Income
1,LP001003,1,1,1,1,0,6.243266653270689,30.0,1,0,0,1.864967187834642
2,LP001005,1,1,0,1,1,5.202609869793578,30.0,1,2,1,1.856555970244763
3,LP001006,1,1,0,0,0,6.138815911878341,30.0,1,2,1,1.862801991049998
4,LP001008,1,0,0,1,0,6.40108265914731,30.0,1,2,1,1.8648193284259
5,LP001011,1,1,2,1,1,7.481930120245435,30.0,1,2,1,1.868931802786796
6,LP001013,1,1,0,0,0,5.766308605778188,30.0,1,2,1,1.8598820653888388
7,LP001014,1,1,3,1,0,6.588770407176041,30.0,0,1,0,1.8640157890148124
8,LP001018,1,1,2,1,0,6.690842482002805,30.0,1,2,1,1.8640009152916823
9,LP001020,1,1,1,1,0,7.956235101810677,30.0,1,1,0,1.8744586579910285
10,LP001024,1,1,2,1,0,5.292292775987911,30.0,1,2,1,1.8600458149568795
11,LP001027,1,1,2,1,0,5.984457744171492,30.0,1,2,1,1.8613340734617618
12,LP001028,1,1,2,1,0,6.984273856782395,30.0,1,2,1,1.870045429098347
13,LP001029,1,0,0,1,0,6.056280501525039,30.0,1,0,0,1.8622312137658623
14,LP001030,1,1,2,1,0,3.274788055227062,10.0,1,2,1,1.853079512479285
15,LP001032,1,0,0,1,0,6.204804957734244,30.0,1,2,1,1.862821877970893
17,LP001036,0,0,0,1,0,5.418524095560883,30.0,0,2,0,1.858702484152016
18,LP001038,1,1,0,0,0,6.305602196486696,30.0,1,0,0,1.8626814942485697
20,LP001043,1,1,0,0,0,5.9096058215908815,30.0,0,2,0,1.8670784938820078
21,LP001046,1,1,1,1,0,7.773212291318927,30.0,1,2,1,1.87029287669064
22,LP001047,1,1,0,0,0,6.084217969428781,30.0,0,1,0,1.8617820868546517
23,LP001050,1,1,2,0,0,6.027898327263307,30.0,0,0,0,1.863518860887169
25,LP001066,1,1,0,1,1,6.906286052916264,30.0,1,1,1,1.8688892890220963
26,LP001068,1,1,0,1,0,6.165503231406164,30.0,1,1,1,1.8630434597973933
27,LP001073,1,1,2,0,0,5.9990562339903,30.0,1,2,1,1.8634868213716298
28,LP001086,1,0,0,0,0,4.268561202711365,30.0,1,2,0,1.843795888257956
